title	type	url_slug	venue	date	location	talk_url	description	
Conference		Talk91	International Comparative Vertebrate Morphology meeting	2015-01-01	 Washington		Conference International Comparative Vertebrate Morphology meeting	
Conference		Talk92	Comparative Australian Vertebrate Palaeontology Meeting	2015-01-01	 Alice Springs		Conference Comparative Australian Vertebrate Palaeontology Meeting	
Conference		Talk93	International Palaeohistology Symposium	2015-01-01	 GERMANY 		Conference International Palaeohistology Symposium	
Conference		Talk94	Commonwealth Science Conference	2014-01-01	 INDIA 		Conference Commonwealth Science Conference	
Conference		Talk95	International Congress of Palaeontology	2014-01-01	 ARGENTINA 		Conference International Congress of Palaeontology	
Conference		Talk96	European Association of Vertebrate Palaeontology	2014-01-01	 ITALY 		Conference European Association of Vertebrate Palaeontology	
Conference		Talk97	European Association of Vertebrate Palaeontology	2013-01-01	 FRANCE  		Conference European Association of Vertebrate Palaeontology	
Conference		Talk98	Society of Avian Palaeontology and Evolution	2012-01-01	 AUSTRIA 		Conference Society of Avian Palaeontology and Evolution	
Conference		Talk99	11th Mesozoic Terrestrial Ecosystems meeting	2012-01-01	 S. KOREA 		Conference 11th Mesozoic Terrestrial Ecosystems meeting	
Conference		Talk100	Academy for the Developing World (TWAS) meeting	2012-01-01	 CHINA 		Conference Academy for the Developing World (TWAS) meeting	
Conference		Talk101	71st Society of Vertebrate Palaeontology Meeting	2011-01-01	 Las Vegas		Conference 71st Society of Vertebrate Palaeontology Meeting	
Conference		Talk102	1st International Paleohistology Symposium	2011-01-01	 SPAIN. 		Conference 1st International Paleohistology Symposium	
Conference		Talk103	70th Society of Vertebrate Palaeontology Meeting	2010-01-01	 Pittsburgh		Conference 70th Society of Vertebrate Palaeontology Meeting	
Conference		Talk104	10th Mesozoic Terrestrial Ecosystems Conference	2009-01-01	 Tuerel		Conference 10th Mesozoic Terrestrial Ecosystems Conference	
Conference		Talk105	Sixth Bone Diagenesis Meeting	2009-01-01	 Bonn		Conference Sixth Bone Diagenesis Meeting	
Conference		Talk106	67th Society of Vertebrate Paleontology Meeting	2009-01-01	Bristol		Conference 67th Society of Vertebrate Paleontology Meeting	
Conference		Talk107	SET4W Workshop	2009-01-01	 Pretoria		Conference SET4W Workshop	
Conference		Talk108	Science @ Synchrotrons	2009-01-01	 Feb 2009. SOUTH AFRICA. 		Conference Science @ Synchrotrons	
Conference		Talk109	66th Society of Vertebrate Paleontology Meeting	2008-01-01	 USA 		Conference 66th Society of Vertebrate Paleontology Meeting	
Conference		Talk110	            Microscopical Society of South Africa	2006-01-01	South Africa		Conference             Microscopical Society of South Africa	
Conference		Talk111	Palaeontological Conference of South Africa	2006-01-01	 South Africa		Conference Palaeontological Conference of South Africa	
Conference		Talk112	9th International Conference on Public Communication of Science and Technology	2006-01-01	 Seoul		Conference 9th International Conference on Public Communication of Science and Technology	
Conference		Talk113	9th Symposium on Mesozoic Terrestrial Ecosystems and Biota	2006-01-01	 Manchester		Conference 9th Symposium on Mesozoic Terrestrial Ecosystems and Biota	
Conference		Talk114	65th Society of Vertebrate Paleontology Meeting	2005-01-01	 Mesa		Conference 65th Society of Vertebrate Paleontology Meeting	
Conference		Talk115	Fifth International Bone Diagenesis Meeting	2005-01-01	 Cape Town		Conference Fifth International Bone Diagenesis Meeting	
Conference		Talk116	Society of Avian Palaeontology and Evolution	2004-01-01	Quillan France		Conference Society of Avian Palaeontology and Evolution	
Conference		Talk117	International Comparative Vertebrate Morphology Conference	2004-01-01	 Boca Raton Florida		Conference International Comparative Vertebrate Morphology Conference	
Conference		Talk118	51st Symposium of Vertebrate Palaeontology and Comparative Anatomy. September 2003	2003-01-01	Oxford		Conference 51st Symposium of Vertebrate Palaeontology and Comparative Anatomy. September 2003	
Conference		Talk119	7th International Conference on Public Communication of Science and Technology (PCST)	2002-01-01	 SOUTH AFRICA. 		Conference 7th International Conference on Public Communication of Science and Technology (PCST)	
Conference		Talk120	Public Understanding of Research	2002-01-01	 Cape Town SOUTH AFRICA. 		Conference Public Understanding of Research	
Conference		Talk121	50th Symposium of Vertebrate Palaeontology and Comparative Anatomy	2002-01-01	 ENGLAND 		Conference 50th Symposium of Vertebrate Palaeontology and Comparative Anatomy	
Conference		Talk122	History	2002-01-01	 Cape Town		Conference History	
Conference		Talk123	Mesozoic Terrestrial Ecosystems Conference	2002-01-01	 SOUTH AFRICA 		Conference Mesozoic Terrestrial Ecosystems Conference	
Conference		Talk124	International Comparative Vertebrate Morphology Conference	2001-01-01	 GERMANY 		Conference International Comparative Vertebrate Morphology Conference	
Conference		Talk125	Society of Avian Palaeontology and Evolution	2000-01-01	 Beijing		Conference Society of Avian Palaeontology and Evolution	
Conference		Talk126	Palaeontological Society of Southern Africa	2000-01-01	South Africa		Conference Palaeontological Society of Southern Africa	
Conference		Talk127	New Perspectives on the Evolution of Birds. Ostrom Symposium. February 1999	1999-01-01	Connecticut		Conference New Perspectives on the Evolution of Birds. Ostrom Symposium. February 1999	
Conference		Talk128	7th International Symposium on Mesozoic Terrestrial Ecosystems. Sept-October	1999-01-01	Buenos Aires		Conference 7th International Symposium on Mesozoic Terrestrial Ecosystems. Sept-October	
Conference		Talk129	African Women in Science and Engineering 	1999-01-01	 KENYA. 		Conference African Women in Science and Engineering 	
Conference		Talk130	Science and the Media	1998-01-01	Cape Town South Africa		Conference Science and the Media	
Conference		Talk131	DinoFest	1998-01-01	 Philadelphia		Conference DinoFest	
Conference		Talk132	10th International Gondwana Meeting	1998-01-01	Cape Town South Africa		Conference 10th International Gondwana Meeting	
Conference		Talk133	Women in Science Meeting	1998-01-01	Rustenberg South Africa		Conference Women in Science Meeting	
Conference		Talk134	Meeting of Palaeontological Society of Southern Africa	1996-01-01	 Stellenbosch		Conference Meeting of Palaeontological Society of Southern Africa	
Conference		Talk135	55th Meeting of the Society of Vertebrate Paleontology	1996-01-01	New York		Conference 55th Meeting of the Society of Vertebrate Paleontology	
Conference		Talk136	Public Understanding of Science	1996-01-01	 Kuils River		Conference Public Understanding of Science	
Conference		Talk137	BPI Palaeontology 50th Anniversary meeting	1995-01-01	 Johannesburg		Conference BPI Palaeontology 50th Anniversary meeting	
Conference		Talk138	Mesozoic Terrestrial Ecosystems and Biota Meeting	1995-01-01	Beijing		Conference Mesozoic Terrestrial Ecosystems and Biota Meeting	
Conference		Talk139	Fifth Paleobiology Symposium	1994-01-01	 University of Pennsylvania		Conference Fifth Paleobiology Symposium	
Conference		Talk140	Dino Fest	1994-01-01	 USA. 		Conference Dino Fest	
Conference		Talk141	4th Paleobiology Symposium	1993-01-01	 University of Pennsylvania		Conference 4th Paleobiology Symposium	
Conference		Talk142	Fifty third Meeting of the Society of Vertebrate Paleontology	1993-01-01	 New Mexico		Conference Fifty third Meeting of the Society of Vertebrate Paleontology	
Conference		Talk143	Nonmarine Triassic Symposium	1993-01-01	 New Mexico		Conference Nonmarine Triassic Symposium	
Conference		Talk144	Society of Avian Paleontology	1992-01-01	 Frankfurt		Conference Society of Avian Paleontology	
Conference		Talk145	52nd Meeting of the Society of Vertebrate Paleontology	1992-01-01	 Toronto		Conference 52nd Meeting of the Society of Vertebrate Paleontology	
Conference		Talk146	5th Symposium on Mesozoic Terrestrial Ecosystems and Biota. 1991-01-01	Oslo		Conference 5th Symposium on Mesozoic Terrestrial Ecosystems and Biota. August 11-15	
Conference		Talk147	39th Symposium of Vertebrate Paleontology and Comparative Anatomy	1991-01-01	 Oxford University		Conference 39th Symposium of Vertebrate Paleontology and Comparative Anatomy	
